equipo_ganador,equipo_primera_sangre,asesinatos_dif,asistencias_dif,oro_dif,nivel_dif,minions_dif,torretas_dif,dragones_dif,heraldos_dif
0,1,10,17,4301,0.8000000000000007,15,0,1,0
0,0,5,3,3905,0.7999999999999998,39,0,0,0
0,1,-5,-5,-2919,-0.40000000000000036,-13,0,-1,0
0,0,6,8,2923,0.6000000000000005,23,0,1,0
1,1,-3,-6,-1059,-0.20000000000000018,-4,0,-1,-1
1,1,-2,-4,-406,0.0,35,0,-1,1
0,1,4,5,1143,0.0,22,0,1,0
0,1,2,4,736,-0.20000000000000018,20,0,-1,0
1,0,-9,-9,-4816,-0.6000000000000005,-63,0,-1,0
0,1,5,1,3977,1.1999999999999993,28,0,1,1
0,1,4,6,3026,0.5999999999999996,43,0,-1,0
1,1,-8,-14,-4262,-0.40000000000000036,-34,0,1,0
1,0,3,4,2476,0.0,-21,1,-1,1
1,1,-6,-7,-3545,-0.8000000000000007,-7,0,-1,-1
1,1,-5,-8,-4324,-0.5999999999999996,-40,0,-1,1
0,1,-1,1,-496,-0.20000000000000018,5,0,1,0
1,1,-2,-1,-1620,-0.40000000000000036,15,0,-1,0
0,0,-4,-4,-1334,-0.40000000000000036,3,0,-1,0
1,0,1,-5,-796,0.20000000000000018,-21,0,0,0
0,0,4,0,1398,0.6000000000000005,5,0,1,0
0,0,2,1,3005,0.5999999999999996,32,0,0,0
1,0,-5,-4,-3156,-0.40000000000000036,-16,0,0,0
0,1,-2,-4,-473,0.40000000000000036,22,0,1,1
1,1,-5,-8,-3397,-0.5999999999999996,-29,0,0,-1
1,1,-3,-7,-1937,-0.20000000000000018,18,0,-1,0
0,0,6,7,3765,0.40000000000000036,25,0,0,0
1,0,3,2,384,0.0,-26,0,1,-1
0,0,6,8,2708,0.0,-7,0,1,0
1,0,-4,-4,-2427,-0.20000000000000018,-15,0,0,0
0,0,3,5,1901,0.40000000000000036,34,0,1,0
0,1,5,7,2480,0.40000000000000036,14,0,1,-1
1,1,-9,-13,-3581,-0.40000000000000036,-29,0,-1,1
0,0,5,9,2911,0.40000000000000036,-12,0,1,1
1,1,-3,-2,-1245,-0.20000000000000018,-17,0,-1,1
1,1,2,2,166,-0.20000000000000018,3,0,1,-1
1,1,-5,-4,-6309,-0.7999999999999998,-101,-1,0,0
1,1,-6,-1,-2047,-0.7999999999999998,6,0,-1,0
1,0,-1,2,-1464,-0.20000000000000018,-25,0,-1,0
0,0,2,0,874,-0.20000000000000018,2,0,1,1
1,0,-3,-6,-627,0.0,7,0,1,0
1,1,0,1,-334,0.0,-24,0,0,0
1,0,-1,-8,449,0.20000000000000018,63,0,1,0
1,1,-3,-8,-780,0.0,9,0,0,0
1,1,-2,-3,-205,0.40000000000000036,17,0,0,1
1,1,-1,0,-1731,-0.20000000000000018,-42,0,0,0
1,1,1,-2,947,-0.20000000000000018,25,0,1,0
1,0,-1,5,-713,0.0,8,0,-1,0
0,0,-1,-1,1171,-0.40000000000000036,16,0,1,0
1,0,-2,-1,-459,-0.39999999999999947,-5,0,-1,0
0,0,6,8,2673,0.6000000000000005,-7,0,-1,0
0,0,2,7,-251,-0.40000000000000036,-14,0,1,0
1,0,3,3,534,0.40000000000000036,-32,0,-1,-1
1,1,-6,-5,-4005,-0.8000000000000007,-60,0,1,0
0,0,-2,-4,-318,0.20000000000000018,23,0,1,1
1,0,3,2,2682,0.6000000000000005,38,0,-1,1
1,0,1,3,2092,0.5999999999999996,53,0,1,0
0,1,3,3,2300,0.20000000000000018,41,0,0,0
0,0,3,-1,2642,0.40000000000000036,53,0,1,0
0,0,1,4,2833,-0.20000000000000018,64,0,-1,0
1,0,0,0,-336,-0.40000000000000036,0,0,-1,0
1,1,-7,-5,-5136,-1.0,-75,-1,1,0
0,1,6,0,1872,0.8000000000000007,23,0,0,0
1,1,-2,-4,-1048,0.0,-19,-1,1,-1
0,1,-1,-7,-88,0.0,20,0,1,0
0,1,-5,-1,-1427,-0.20000000000000018,-19,0,0,0
0,1,-3,-9,-2440,0.0,-39,0,0,1
1,0,-4,-8,-1614,-0.6000000000000005,14,0,-1,0
0,1,-3,-4,-1075,0.0,21,0,1,0
0,0,-1,-8,-1799,0.0,-6,0,1,1
0,0,9,8,3296,1.0,0,0,1,0
0,1,-3,-2,-1942,0.20000000000000018,-35,0,-1,0
0,0,4,7,2013,0.20000000000000018,17,0,1,0
0,0,4,4,3574,0.20000000000000018,55,0,1,1
0,0,10,4,6000,1.0,104,0,1,-1
1,1,-4,-7,-3128,-0.5999999999999996,-39,0,0,-1
0,1,0,-1,1229,0.20000000000000018,54,0,1,1
1,0,-5,-3,1285,0.40000000000000036,96,0,-1,1
1,1,-5,-2,-3274,-0.40000000000000036,-62,0,-1,0
1,1,-3,-8,-1770,0.20000000000000018,21,0,-1,0
0,0,5,10,1892,0.20000000000000018,-39,0,1,0
1,0,1,2,525,0.20000000000000018,7,0,0,0
1,0,-1,0,-415,-0.40000000000000036,8,0,1,0
0,1,-4,-3,-1751,-0.20000000000000018,5,0,-1,0
0,0,8,4,4453,0.0,5,1,-1,1
1,0,5,8,1393,0.20000000000000018,-25,0,1,0
0,1,1,-6,534,0.0,56,0,1,1
1,0,-9,-16,-3301,-0.6000000000000005,23,0,-1,0
0,1,-3,-3,-2022,-0.40000000000000036,-52,0,1,1
1,1,-3,-3,176,0.20000000000000018,50,0,-1,0
1,1,-3,-1,-458,0.0,-5,0,-1,1
1,0,2,6,676,-0.40000000000000036,-34,0,-1,0
0,1,2,5,2536,0.7999999999999998,8,0,1,-1
0,1,-4,1,-1751,-0.6000000000000005,-11,0,0,-1
0,1,-3,-1,-1516,0.0,-3,0,-1,-1
1,0,-4,0,-2566,-0.39999999999999947,-66,0,0,0
1,0,-4,1,-2023,-0.40000000000000036,-25,0,-1,0
1,1,-1,-4,-276,0.0,33,0,0,1
0,0,3,2,1574,0.40000000000000036,11,0,1,1
0,1,3,9,2378,0.40000000000000036,26,0,-1,0
1,0,-5,-6,-3223,-0.40000000000000036,-40,0,-1,-1
1,1,0,-1,808,0.0,24,0,-1,0
0,0,6,2,3803,0.5999999999999996,37,0,0,0
1,1,-6,-4,-3360,-0.40000000000000036,-34,0,-1,0
0,1,4,8,2397,0.40000000000000036,-5,0,0,-1
1,0,-3,-2,-883,-0.40000000000000036,30,0,0,0
1,0,-3,-4,-2638,-0.39999999999999947,-2,0,-1,-1
0,0,11,11,5035,1.2000000000000002,-5,0,0,0
1,0,-3,-2,-1003,0.0,17,0,-1,-1
1,0,-3,-6,-1963,-0.40000000000000036,2,0,-1,0
1,1,-1,-1,-1071,-0.20000000000000018,-27,0,-1,0
0,0,1,2,897,0.0,-10,0,0,0
0,0,3,2,1946,0.0,15,0,1,1
1,1,0,-1,-219,-0.40000000000000036,10,0,-1,1
0,0,2,0,1588,0.0,26,0,0,0
1,1,-4,-3,-1889,0.0,5,0,-1,0
0,1,-2,-2,-720,0.0,-28,0,1,0
1,0,-9,-6,-2388,-0.5999999999999996,15,0,-1,-1
1,1,-10,-9,-5668,-1.0,-51,0,-1,0
0,1,-1,-3,527,0.20000000000000018,62,0,1,0
0,0,2,-1,1496,0.0,41,0,-1,1
1,1,-6,-8,-4245,-0.5999999999999996,-51,0,-1,-1
1,0,5,9,3386,0.7999999999999998,-22,0,1,-1
1,1,-5,-9,-3145,-0.6000000000000005,-35,0,-1,0
1,1,-4,-8,-1325,0.0,-12,0,1,0
0,1,-3,-2,-1623,0.0,-12,0,1,1
0,1,0,3,1076,0.20000000000000018,-2,0,1,0
0,1,-3,3,-1156,0.0,-38,0,1,0
1,1,0,-3,450,0.0,8,0,0,1
0,0,2,0,4363,1.2000000000000002,82,2,0,1
0,0,5,7,2262,0.6000000000000005,-8,0,1,0
1,0,-3,-2,-367,-0.40000000000000036,7,0,0,0
0,1,3,5,1214,0.40000000000000036,4,0,-1,0
0,0,3,6,1728,0.0,-6,0,1,0
0,0,1,-1,959,0.0,5,0,-1,0
0,0,0,1,924,0.20000000000000018,21,0,-1,1
0,0,10,11,4544,0.6000000000000005,45,0,1,0
1,1,-7,-8,-4847,-0.8000000000000007,-8,-1,1,1
0,0,6,15,1849,0.6000000000000005,-4,0,1,-1
0,1,-4,-2,-3891,-0.7999999999999998,-66,0,0,0
1,0,-3,-1,-1314,-0.40000000000000036,-1,0,-1,0
0,0,4,9,2718,0.40000000000000036,7,0,0,0
1,1,-5,-9,-2174,-0.20000000000000018,-10,0,-1,-1
0,0,3,1,1093,0.20000000000000018,13,0,1,0
0,1,1,-5,-215,-0.20000000000000018,-18,0,0,0
0,0,1,4,635,-0.39999999999999947,-2,0,-1,1
0,1,0,0,120,0.6000000000000005,11,-1,0,-1
0,1,1,-1,194,0.40000000000000036,-11,0,1,0
0,0,7,20,3581,0.40000000000000036,25,0,1,0
1,1,-7,-3,-3622,-0.40000000000000036,-32,0,0,0
0,0,0,-2,-303,0.0,0,0,1,-1
1,1,1,-3,-1295,0.0,-51,0,1,0
1,1,-4,-3,-3006,-0.20000000000000018,-45,0,-1,-1
0,0,1,3,1090,0.20000000000000018,17,0,-1,1
0,1,1,-1,324,0.5999999999999996,-11,0,1,0
0,0,-4,-4,-2025,-0.6000000000000005,-18,0,-1,0
1,0,-1,-3,-416,-0.40000000000000036,2,0,-1,0
1,0,0,-3,62,0.40000000000000036,30,0,-1,1
1,0,-2,-9,-67,-0.6000000000000005,21,0,-1,0
0,1,7,9,5163,0.7999999999999998,52,0,1,0
0,0,6,12,2728,0.20000000000000018,2,0,1,0
1,1,-6,-6,-3559,-0.40000000000000036,-52,0,1,0
0,0,2,2,184,-0.20000000000000018,-16,0,1,1
1,0,-3,-2,-2040,-0.5999999999999996,-18,0,1,0
0,0,5,6,2151,0.20000000000000018,-14,0,1,0
1,1,-2,1,-2452,-0.40000000000000036,-61,0,0,0
0,0,3,4,3255,0.40000000000000036,31,0,1,1
0,0,6,4,1128,0.0,4,0,-1,0
0,0,1,4,1909,0.40000000000000036,5,1,0,1
0,1,4,1,3397,0.20000000000000018,37,0,0,0
1,1,-4,-11,-3563,-0.20000000000000018,-16,0,-1,0
1,0,-2,-9,-361,0.39999999999999947,17,0,1,0
0,1,1,-1,-513,0.0,-23,0,0,1
0,1,7,6,4872,1.0,36,0,0,0
1,1,-1,-2,985,0.7999999999999998,19,0,0,1
0,0,-4,-6,-1599,-0.20000000000000018,2,0,1,-1
0,1,7,10,1719,0.40000000000000036,-26,0,1,0
1,1,-5,-5,-2641,-0.40000000000000036,-35,0,0,-1
1,0,-6,-9,-2846,-0.6000000000000005,-28,0,-1,-1
1,1,-7,-11,-3891,-0.8000000000000007,-12,0,-1,0
0,1,9,6,6202,1.0,59,0,1,0
0,1,1,2,2330,0.40000000000000036,34,0,0,0
1,0,2,-2,3089,0.40000000000000036,69,0,0,0
0,1,1,0,540,0.40000000000000036,11,0,0,0
0,0,1,1,508,-0.6000000000000005,-18,0,-1,1
1,0,3,6,625,0.20000000000000018,-15,0,1,0
0,0,3,4,2481,0.40000000000000036,24,0,1,0
0,0,5,4,2796,0.6000000000000005,6,0,1,0
0,1,5,3,2089,0.40000000000000036,-8,0,1,0
0,0,-1,-2,-608,0.0,-20,0,1,0
1,0,-2,-5,-1923,-0.40000000000000036,-12,0,0,0
1,1,0,0,-951,-0.20000000000000018,3,0,-1,0
0,0,2,2,1428,0.20000000000000018,42,0,1,0
1,0,3,4,1131,0.20000000000000018,-35,0,1,-1
1,1,-3,-11,-1972,-0.20000000000000018,-35,0,0,1
1,0,-2,-6,-2242,-0.20000000000000018,-58,0,-1,0
0,0,3,7,2287,-0.40000000000000036,35,0,1,-1
1,1,3,4,1367,0.6000000000000005,39,0,0,-1
0,0,4,4,2580,0.6000000000000005,45,0,1,1
1,1,4,12,786,-0.39999999999999947,-46,0,1,0
0,0,-1,-5,152,0.0,2,0,1,1
0,0,4,6,2802,0.40000000000000036,13,0,-1,0
1,1,-1,1,-1610,-0.39999999999999947,-15,0,-1,0
0,1,4,1,1543,0.0,27,0,-1,0
0,1,4,3,1915,0.1999999999999993,4,0,0,0
0,1,1,6,-595,0.0,-26,0,1,0
1,0,-1,1,-1190,0.0,-17,0,0,0
0,0,4,1,1820,0.0,13,0,-1,1
1,1,-3,-3,-2630,-0.40000000000000036,-37,0,1,1
